,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,East London,-33.0153,27.9116,72.54,73,0,9.22,ZA,1645462562
1,Punta Arenas,-53.15,-70.9167,62.71,45,0,17.27,CL,1645462427
2,Hobart,-42.8794,147.3294,49.86,72,75,5.75,AU,1645462562
3,Esperance,-33.8667,121.9,62.44,70,0,15.82,AU,1645462562
4,Dunedin,-45.8742,170.5036,58.8,81,1,1.01,NZ,1645462563
5,Mar del Plata,-38.0023,-57.5575,69.82,89,75,20.0,AR,1645462563
6,Āsosa,10.0667,34.5333,73.0,24,92,3.42,ET,1645462563
7,Gram,55.2895,9.0491,42.84,81,75,13.8,DK,1645462564
8,Dalbandin,28.8947,64.4101,72.66,22,22,19.44,PK,1645462564
9,Honiara,-9.4333,159.95,78.37,86,100,2.77,SB,1645462564
10,Payakumbuh,-0.2202,100.6308,71.1,96,100,0.34,ID,1645462565
11,Rikitea,-23.1203,-134.9692,76.12,75,16,9.82,PF,1645462565
12,George Town,5.4112,100.3354,84.13,92,40,3.44,MY,1645462565
13,Kapaa,22.0752,-159.319,64.38,70,35,9.89,US,1645462470
14,Peniche,39.3558,-9.3811,69.75,69,32,13.85,PT,1645462566
15,Ponta do Sol,32.6667,-17.1,66.13,54,56,11.3,PT,1645462566
16,Gravelbourg,49.8834,-106.5512,-9.13,90,100,6.35,CA,1645462566
17,Darhan,49.4867,105.9228,-5.39,96,10,6.02,MN,1645462567
18,Hermanus,-34.4187,19.2345,70.9,79,4,11.25,ZA,1645462567
19,Nemuro,43.3236,145.575,22.62,79,100,34.27,JP,1645462567
20,Arraial do Cabo,-22.9661,-42.0278,87.76,70,40,12.66,BR,1645462568
21,Hong Kong,22.2855,114.1577,52.25,92,100,10.0,HK,1645461785
22,Qaanaaq,77.484,-69.3632,-8.72,60,93,7.63,GL,1645462568
23,Tautira,-17.7333,-149.15,75.22,75,61,19.73,PF,1645462568
24,Puerto Ayora,-0.7393,-90.3518,84.16,87,79,7.0,EC,1645462569
25,Avarua,-21.2078,-159.775,77.05,88,40,9.22,CK,1645462569
26,Ushuaia,-54.8,-68.3,60.46,44,20,11.5,AR,1645462499
27,Ayr,55.4627,-4.6339,48.15,71,20,17.27,GB,1645462569
28,Tasiilaq,65.6145,-37.6368,23.76,88,100,32.23,GL,1645462570
29,Juneau,58.3019,-134.4197,5.56,82,10,8.52,US,1645462570
30,Port Elizabeth,-33.918,25.5701,72.1,77,20,12.66,ZA,1645462321
31,Kahului,20.8947,-156.47,75.85,86,0,3.0,US,1645462315
32,Hilo,19.7297,-155.09,70.79,89,100,8.05,US,1645462571
33,Busselton,-33.65,115.3333,64.09,75,1,10.2,AU,1645462571
34,Urla,38.3229,26.764,62.2,90,59,10.07,TR,1645462571
35,Sørland,67.667,12.6934,15.87,56,100,9.26,NO,1645462572
36,Rawson,-43.3002,-65.1023,55.67,59,97,17.92,AR,1645462572
37,Lebu,-37.6167,-73.65,66.11,56,16,7.94,CL,1645462572
38,Najrān,17.4924,44.1277,66.85,21,55,7.07,SA,1645462572
39,Albany,42.6001,-73.9662,50.81,44,71,3.24,US,1645462319
40,Lata,40.1629,-8.3327,68.36,44,39,6.46,PT,1645462573
41,Bluff,-46.6,168.3333,59.76,66,98,17.47,NZ,1645462573
42,Puerto del Rosario,28.5004,-13.8627,65.95,55,20,8.05,ES,1645462574
43,Butaritari,3.0707,172.7902,81.63,80,88,21.34,KI,1645462574
44,Leningradskiy,69.3833,178.4167,-33.52,98,61,3.38,RU,1645462574
45,Touros,-5.1989,-35.4608,88.7,58,83,14.72,BR,1645462575
46,Thompson,55.7435,-97.8558,-27.24,68,0,8.05,CA,1645462575
47,Taoudenni,22.6783,-3.9836,93.83,7,100,3.74,ML,1645462575
48,Sayyan,15.1718,44.3244,56.62,25,79,6.89,YE,1645462575
49,Road Town,18.4167,-64.6167,84.29,65,40,11.5,VG,1645462332
50,Toamasina,-18.1667,49.3833,80.6,83,75,21.85,MG,1645462576
51,San-Pédro,4.7485,-6.6363,82.51,77,100,10.78,CI,1645462576
52,Faanui,-16.4833,-151.75,80.64,77,82,19.13,PF,1645462577
53,Jamestown,42.097,-79.2353,52.09,42,0,5.75,US,1645462447
54,Auray,47.6703,-2.9918,52.88,67,6,18.41,FR,1645462577
55,Zyryanskoye,56.8306,86.6258,14.23,92,10,7.47,RU,1645462577
56,Ambunti,-4.2365,142.8448,71.87,98,100,1.83,PG,1645462578
57,Bambous Virieux,-20.3428,57.7575,81.21,94,40,23.02,MU,1645462578
58,Mataura,-46.1927,168.8643,51.96,76,81,3.6,NZ,1645462578
59,Sisimiut,66.9395,-53.6735,-9.87,98,98,4.63,GL,1645462579
60,Racine,42.7495,-88.0751,38.97,82,100,16.11,US,1645462453
61,Atuona,-9.8,-139.0333,78.13,74,6,18.57,PF,1645462579
62,Solnice,50.2037,16.2376,44.74,55,11,15.17,CZ,1645462579
63,Pevek,69.7008,170.3133,-41.03,100,68,2.08,RU,1645462580
64,Bredasdorp,-34.5322,20.0403,72.72,56,2,18.41,ZA,1645462580
65,Saldanha,-33.0117,17.9442,73.45,86,21,13.65,ZA,1645462580
66,Grimshaw,56.1834,-117.6027,-9.98,76,75,10.36,CA,1645462581
67,Port Alfred,-33.5906,26.891,70.93,69,22,9.55,ZA,1645462581
68,Ransang,8.9603,117.5828,77.27,81,97,3.13,PH,1645462581
69,Atar,20.5169,-13.0499,89.33,11,87,3.94,MR,1645462582
70,Ilulissat,69.2167,-51.1,-10.03,97,100,3.4,GL,1645462582
71,Natal,-5.795,-35.2094,89.82,58,40,16.11,BR,1645462582
72,Timrå,62.487,17.3257,22.71,86,75,14.97,SE,1645462583
73,Noshiro,40.2039,140.0242,27.36,68,100,27.72,JP,1645462583
74,Vaini,-21.2,-175.2,78.96,94,40,6.91,TO,1645462584
75,Longyearbyen,78.2186,15.6401,-2.36,71,20,8.05,SJ,1645462443
76,Shimoda,34.6667,138.95,36.1,63,39,16.51,JP,1645462584
77,Jaqué,7.5175,-78.1703,84.25,63,99,6.85,PA,1645462584
78,Jaciara,-15.9653,-54.9683,78.8,78,84,5.64,BR,1645462585
79,Khatanga,71.9667,102.5,10.29,92,100,4.32,RU,1645462585
80,Cidreira,-30.1811,-50.2056,85.06,52,84,2.17,BR,1645462585
81,Pangai,-19.8,-174.35,81.9,78,64,14.36,TO,1645462586
82,Kaitangata,-46.2817,169.8464,55.92,65,13,5.66,NZ,1645462586
83,Coahuayana Viejo,18.7333,-103.6833,90.93,22,1,3.89,MX,1645462586
84,Fukuechō,32.6881,128.8419,46.78,55,100,20.87,JP,1645462587
85,Inta,66.0317,60.1659,23.14,96,100,6.58,RU,1645462587
86,Bhag,29.0415,67.8239,78.53,17,0,8.75,PK,1645462587
87,Cape Town,-33.9258,18.4232,75.61,54,20,12.66,ZA,1645462533
88,Ribeira Grande,38.5167,-28.7,61.2,59,75,5.75,PT,1645462588
89,Ancud,-41.8697,-73.8203,69.22,45,1,11.01,CL,1645462588
90,Amuntai,-2.4177,115.2494,72.5,94,95,0.78,ID,1645462588
91,Nome,64.5011,-165.4064,33.87,87,100,25.32,US,1645462589
92,Sidi Ali,36.0998,0.4206,57.22,69,22,6.6,DZ,1645462589
93,Churapcha,62.0025,132.4325,-12.06,98,100,5.93,RU,1645462589
94,Lagoa,39.05,-27.9833,55.9,58,100,4.61,PT,1645462590
95,São João da Barra,-21.6403,-41.0511,89.69,80,47,8.25,BR,1645462590
96,Mahébourg,-20.4081,57.7,81.25,94,40,23.02,MU,1645462590
97,Mount Isa,-20.7333,139.5,69.57,49,6,5.75,AU,1645462424
98,Banda Aceh,5.5577,95.3222,80.19,84,62,8.93,ID,1645462591
99,Sitka,57.0531,-135.33,19.33,73,42,6.93,US,1645462591
100,Bulgan,48.8125,103.5347,-2.97,91,4,3.98,MN,1645462591
101,Carnarvon,-24.8667,113.6333,82.47,65,95,12.66,AU,1645462592
102,Huarmey,-10.0681,-78.1522,75.27,76,76,8.41,PE,1645462592
103,Mehamn,71.0357,27.8492,17.51,79,100,4.43,NO,1645462593
104,Lakatoro,-16.0999,167.4164,80.83,83,97,10.98,VU,1645462593
105,Dondo,-19.6094,34.7431,83.71,81,17,6.42,MZ,1645462593
106,Tuktoyaktuk,69.4541,-133.0374,-25.6,75,0,14.97,CA,1645462594
107,Berzasca,44.6476,21.9526,53.96,82,61,3.98,RO,1645462594
108,Yangi Marg`ilon,40.4272,71.7189,49.42,52,4,4.61,UZ,1645462594
109,Wick,58.4333,-3.0833,41.05,75,40,11.5,GB,1645462595
110,Nishifukuma,33.7667,130.4667,43.03,55,76,16.15,JP,1645462595
111,Cabo San Lucas,22.8909,-109.9124,79.52,51,0,1.99,MX,1645462327
112,Hithadhoo,-0.6,73.0833,82.98,69,11,9.91,MV,1645462596
113,Ko Samui,9.5357,99.9357,82.8,72,16,13.22,TH,1645462596
114,Troitsko-Pechorsk,62.7084,56.1964,23.14,95,100,8.12,RU,1645462596
115,Bandarbeyla,9.4942,50.8122,77.95,78,2,15.48,SO,1645462597
116,Tiksi,71.6872,128.8694,-9.35,98,98,8.08,RU,1645462597
117,Saint George,37.1041,-113.5841,59.43,22,0,12.66,US,1645462531
118,Novorzhev,57.0294,29.3338,35.1,98,100,9.8,RU,1645462598
119,Kaeo,-35.1,173.7833,65.32,95,54,6.31,NZ,1645462598
120,Karratha,-20.7377,116.8463,85.05,71,75,10.47,AU,1645462598
121,Port Hedland,-20.3167,118.5667,80.65,100,40,5.75,AU,1645462599
122,La Ronge,55.1001,-105.2842,-27.15,62,0,6.91,CA,1645462599
123,Shakawe,-18.3667,21.85,80.56,47,62,2.59,BW,1645462599
124,Lompoc,34.6391,-120.4579,55.56,66,100,14.97,US,1645462314
125,Morgan City,29.6994,-91.2068,75.99,88,100,12.66,US,1645462600
126,Black River,18.0264,-77.8487,84.97,50,21,7.61,JM,1645462600
127,Bālugaon,20.1667,85.1,70.27,71,71,3.02,IN,1645462600
128,New Norfolk,-42.7826,147.0587,49.5,65,53,1.01,AU,1645462601
129,Aracruz,-19.8203,-40.2733,88.81,52,97,3.56,BR,1645462601
130,Nikolskoye,59.7035,30.7861,32.88,96,100,11.45,RU,1645462601
131,Mizdah,31.4451,12.9801,62.4,46,56,8.77,LY,1645462602
132,Isangel,-19.55,169.2667,79.14,84,100,6.51,VU,1645462602
133,Brae,60.3964,-1.353,39.11,52,38,21.72,GB,1645462602
134,Xinzhou,38.4092,112.7333,22.23,43,0,5.17,CN,1645462603
135,Castro,-24.7911,-50.0119,82.4,47,89,6.42,BR,1645462603
136,Bismarck,46.8083,-100.7837,-7.13,75,100,17.27,US,1645462501
137,Los Llanos de Aridane,28.6585,-17.9182,60.55,74,40,9.22,ES,1645462603
138,Conneaut,41.9476,-80.5542,53.98,84,73,8.41,US,1645462604
139,Nadym,65.5333,72.5167,17.55,95,100,11.39,RU,1645462604
140,Lorengau,-2.0226,147.2712,81.21,76,100,6.02,PG,1645462604
141,Mugur-Aksy,50.35,90.5,-5.28,79,2,6.98,RU,1645462605
142,Clyde River,70.4692,-68.5914,-14.57,76,75,17.27,CA,1645462605
143,Itarema,-2.9248,-39.9167,87.28,58,39,16.8,BR,1645462605
144,Barrow,71.2906,-156.7887,-10.66,84,100,15.84,US,1645462606
145,Dikson,73.5069,80.5464,13.51,93,100,17.6,RU,1645462606
146,Praia da Vitória,38.7333,-27.0667,62.85,63,40,2.62,PT,1645462606
147,Geraldton,-28.7667,114.6,75.61,78,72,18.41,AU,1645462607
148,Yulara,-25.2406,130.9889,73.24,35,0,8.05,AU,1645462595
149,Suclayin,15.7568,121.5503,72.93,91,100,2.33,PH,1645462607
150,Kouroussa,10.65,-9.8833,97.43,23,45,5.28,GN,1645462608
151,Hamilton,39.1834,-84.5333,60.42,43,67,9.73,US,1645462494
152,Cooma,-36.2333,149.1333,55.17,94,100,6.91,AU,1645462608
153,Leshukonskoye,64.8989,45.7622,13.53,98,97,3.67,RU,1645462608
154,Port Blair,11.6667,92.75,75.24,88,40,2.3,IN,1645462609
155,Rocha,-34.4833,-54.3333,75.9,65,67,17.29,UY,1645462609
156,Picton,-34.1833,150.6,72.84,91,100,2.93,AU,1645462609
157,Weinan,34.5036,109.5089,38.89,34,86,2.77,CN,1645462610
158,Roebourne,-20.7833,117.1333,85.39,68,72,9.35,AU,1645462610
159,Viedma,-40.8135,-62.9967,62.55,65,100,20.69,AR,1645462610
160,Katsuura,35.1333,140.3,37.51,45,19,9.19,JP,1645462611
161,Belz,47.6751,-3.168,53.22,64,6,5.99,FR,1645462611
162,Broome,42.2506,-75.833,50.56,40,25,7.0,US,1645462612
163,Lavrentiya,65.5833,-171.0,20.97,97,100,5.55,RU,1645462612
164,Yellowknife,62.456,-114.3525,-23.58,83,20,6.91,CA,1645462521
165,Kuching,1.55,110.3333,79.02,89,20,2.3,MY,1645462612
166,Khani,41.9563,42.9566,36.97,99,100,1.68,GE,1645462613
167,Vila Franca do Campo,37.7167,-25.4333,61.21,64,99,6.06,PT,1645462613
168,Yarmouth,41.7057,-70.2286,52.14,61,44,5.01,US,1645462614
169,Finschhafen,-6.6024,147.8681,81.01,80,99,10.02,PG,1645462614
170,Upernavik,72.7868,-56.1549,-19.79,99,100,3.94,GL,1645462614
171,Haines Junction,60.7522,-137.5108,-18.45,76,100,1.14,CA,1645462614
172,Harper,4.375,-7.7169,82.89,75,89,10.78,LR,1645462615
173,Vao,-22.6667,167.4833,79.2,82,100,11.43,NC,1645462615
174,Pisco,-13.7,-76.2167,72.01,83,75,10.36,PE,1645462615
175,Bumba,2.1833,22.4667,86.07,36,27,2.77,CD,1645462616
176,Vestmanna,62.1564,-7.1664,32.92,69,70,3.44,FO,1645462616
177,Tallahassee,30.4383,-84.2807,75.85,65,75,8.05,US,1645462067
178,Kavieng,-2.5744,150.7967,76.62,93,100,6.35,PG,1645462617
179,Yinchuan,38.4681,106.2731,22.44,31,0,4.92,CN,1645462617
180,Boyolangu,-8.1181,111.8935,76.37,89,100,2.86,ID,1645462617
181,Taicheng,38.731,113.228,14.77,64,1,4.92,CN,1645462617
182,Maní,4.8172,-72.2886,95.43,21,63,15.59,CO,1645462618
183,Turaif,31.6725,38.6637,59.25,55,0,6.91,SA,1645462618
184,Nelson Bay,-32.7167,152.15,75.11,91,100,9.71,AU,1645462619
185,Kifrī,34.6959,44.9661,58.77,61,46,5.39,IQ,1645462619
186,Bintulu,3.1667,113.0333,75.61,94,20,2.3,MY,1645462619
187,Sanmenxia,34.7747,111.1814,37.38,29,90,0.89,CN,1645462620
188,Saint Paul Harbor,57.79,-152.4072,38.71,87,100,6.91,US,1645462620
189,Ségou,13.4317,-6.2157,99.23,7,7,12.95,ML,1645462620
190,Hofn,64.2539,-15.2082,35.62,75,100,18.41,IS,1645462621
191,Jardim,-21.4803,-56.1381,98.1,33,25,9.6,BR,1645462621
192,Airai,-8.9266,125.4092,60.26,97,100,0.98,TL,1645462621
193,Tahoua,14.8888,5.2692,85.55,5,20,14.88,NE,1645462622
194,Whitehorse,60.7161,-135.0538,-18.18,75,20,2.3,CA,1645462626
195,Mouila,-1.8685,11.0559,77.97,92,100,1.12,GA,1645462627
196,Todos Santos,23.45,-110.2167,79.02,74,0,9.31,MX,1645462627
197,Camopi,3.1655,-52.3158,80.26,91,73,4.29,GF,1645462627
198,Bannu,32.9854,70.6027,65.25,30,100,1.43,PK,1645462628
199,Grand Gaube,-20.0064,57.6608,81.37,85,75,11.01,MU,1645462628
200,São Filipe,14.8961,-24.4956,70.86,72,98,10.25,CV,1645462628
201,Narsaq,60.9167,-46.05,0.79,68,0,1.12,GL,1645462628
202,Jumla,29.2747,82.1838,33.58,55,2,4.38,NP,1645462629
203,Santa Cecília,-26.9608,-50.4269,70.39,68,100,2.15,BR,1645462629
204,Quaraí,-30.3875,-56.4514,94.21,23,19,13.02,BR,1645462629
205,Panzhihua,26.5851,101.7128,43.93,96,100,4.52,CN,1645462630
206,Postřelmov,49.9076,16.9123,45.32,55,78,1.01,CZ,1645462630
207,Russell,32.3502,-85.1999,56.48,91,100,4.45,US,1645462630
208,Chui,-33.6971,-53.4616,80.6,59,45,14.03,UY,1645462631
209,Crucea,44.5333,28.2333,46.49,69,8,9.28,RO,1645462631
210,Mokhsogollokh,61.4681,128.9203,2.98,98,100,0.94,RU,1645462631
211,Nanortalik,60.1432,-45.2371,13.53,71,11,21.14,GL,1645462632
212,Esim,4.8699,-2.2405,83.28,73,94,8.52,GH,1645462632
213,Cabedelo,-6.9811,-34.8339,88.47,58,36,11.83,BR,1645462632
214,Sabattus,44.1198,-70.1076,49.62,40,56,3.38,US,1645462633
215,Ürümqi,43.801,87.6005,4.15,85,46,0.0,CN,1645462633
216,Grindavik,63.8424,-22.4338,36.07,93,100,34.52,IS,1645462633
217,Provideniya,64.3833,-173.3,16.38,95,100,12.84,RU,1645462634
218,Mossamedes,-15.1961,12.1522,78.31,78,17,8.81,AO,1645462634
219,Bethel,41.3712,-73.414,50.49,51,79,4.0,US,1645462634
220,Vila,42.0304,-8.1588,56.75,58,10,4.23,PT,1645462635
221,San Cristobal,7.7669,-72.225,68.18,30,39,2.3,VE,1645462635
222,Amapá,1.0,-52.0,85.64,63,62,5.26,BR,1645462635
223,Teknāf,20.8624,92.3058,66.33,91,14,5.26,BD,1645462636
224,Weligama,5.9667,80.4167,79.11,80,68,1.28,LK,1645462636
225,Severo-Kuril'sk,50.6789,156.125,31.68,96,100,44.87,RU,1645462636
226,Salinópolis,-0.6136,-47.3561,83.34,75,98,12.62,BR,1645462337
227,Port-Gentil,-0.7193,8.7815,84.16,74,20,2.3,GA,1645462637
228,St. George's,12.0564,-61.7485,85.68,66,40,19.57,GD,1645462551
229,Sheltozero,61.3667,35.3667,23.02,94,97,4.23,RU,1645462637
230,Mabaruma,8.2,-59.7833,81.18,74,62,7.31,GY,1645462638
231,Pangody,65.85,74.4859,17.1,94,100,13.44,RU,1645462638
232,Kruisfontein,-34.0033,24.7314,69.89,74,16,8.21,ZA,1645462638
233,Tshela,-4.9833,12.9333,77.52,94,98,2.68,CD,1645462639
234,Itupiranga,-5.1347,-49.3267,89.92,58,79,3.62,BR,1645462639
235,Huilong,31.8111,121.655,42.04,52,99,4.25,CN,1645462639
236,Ginda,30.6945,78.4932,41.81,36,9,6.06,IN,1645462640
237,Atambua,-9.1061,124.8925,71.91,96,100,4.12,ID,1645462640
238,Poum,-20.2333,164.0167,81.66,79,100,16.06,NC,1645462640
239,Balkhash,46.844,74.9804,12.74,88,55,9.42,KZ,1645462641
240,Juradó,7.1053,-77.7641,85.23,61,90,6.76,CO,1645462641
241,Sola,-13.8833,167.55,82.45,75,47,13.6,VU,1645462641
242,Kyshtovka,56.555,76.6271,18.79,93,100,10.2,RU,1645462642
243,Akureyri,65.6835,-18.0878,28.33,64,0,3.44,IS,1645462642
244,Goderich,43.7501,-81.7165,38.03,70,97,10.36,CA,1645462642
245,Tougan,13.0667,-3.0667,96.78,5,4,13.65,BF,1645462507
246,Kainantu,-6.2887,145.8655,60.17,97,95,2.19,PG,1645462643
247,Ust-Maya,60.4167,134.5333,-15.68,99,100,2.95,RU,1645462643
248,Vila Velha,-20.3297,-40.2925,89.55,74,20,16.11,BR,1645462410
249,Moose Factory,51.2585,-80.6094,-16.6,57,0,10.36,CA,1645462644
250,Guerrero Negro,27.9769,-114.0611,61.41,51,23,14.03,MX,1645462644
251,Norman Wells,65.282,-126.8329,-38.16,60,20,2.3,CA,1645462644
252,Rokiškis,55.9667,25.5833,37.45,83,100,11.07,LT,1645462645
253,Jizan,17.3333,42.6667,79.74,64,85,8.03,SA,1645462645
254,Luwuk,-0.9516,122.7875,75.02,81,100,4.47,ID,1645462645
255,Bundaberg,-24.85,152.35,72.21,94,17,6.91,AU,1645462645
256,Koungou,-12.7336,45.2042,82.11,83,75,12.66,YT,1645462646
257,Oussouye,12.485,-16.5469,102.38,19,2,9.15,SN,1645462646
258,Humberto de Campos,-2.5983,-43.4611,89.83,52,61,9.95,BR,1645462646
259,Lakes Entrance,-37.8811,147.981,57.31,69,54,1.95,AU,1645462647
260,Laibin,23.7,109.2667,41.2,80,100,9.98,CN,1645462647
261,Punta Alta,-38.8759,-62.0736,68.13,63,96,20.36,AR,1645462648
262,Portland,45.5234,-122.6762,40.41,92,75,5.99,US,1645462648
263,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,59,75,20.13,RU,1645462648
264,San Patricio,28.017,-97.5169,80.69,61,71,19.98,US,1645462649
265,North Bend,43.4065,-124.2243,42.85,97,100,8.05,US,1645462649
266,Lamu,-2.2717,40.902,80.82,87,80,13.98,KE,1645462457
267,Nishihara,26.1842,127.7558,58.28,63,100,10.36,JP,1645462649
268,Dunmore Town,25.5,-76.65,73.56,76,58,18.97,BS,1645462650
