,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Nānākuli,21.3906,-158.1547,69.62,88,100,5.75,US,1645462650
270,Xinyu,27.8043,114.9334,37.65,91,100,3.18,CN,1645462650
271,Salalah,17.0151,54.0924,72.52,72,25,1.95,OM,1645462651
272,Gizo Government Station,-8.103,156.8419,82.36,76,92,3.27,SB,1645462651
273,Arkhangel’skoye,55.8549,35.3287,31.35,97,100,13.06,RU,1645462651
274,Lüderitz,-26.6481,15.1594,77.13,51,13,23.33,NA,1645462652
275,La Paz,-16.5,-68.15,58.98,58,40,6.91,BO,1645462546
276,Padang,-0.9492,100.3543,78.85,84,100,2.98,ID,1645462652
277,Nara,34.6851,135.8049,38.48,42,17,8.05,JP,1645462462
278,Rabo de Peixe,37.8,-25.5833,60.31,51,20,11.5,PT,1645462653
279,Zamość,50.7231,23.252,40.84,61,100,15.01,PL,1645462653
280,Altay,47.8667,88.1167,15.22,57,0,8.59,CN,1645462653
281,Ayan,56.45,138.1667,-8.86,79,16,9.91,RU,1645462654
282,Djougou,9.7085,1.666,93.31,8,69,3.67,BJ,1645462654
283,San Carlos,9.6612,-68.5827,95.34,26,6,4.18,VE,1645462654
284,Zhangye,38.9342,100.4517,22.8,51,21,6.42,CN,1645462655
285,Constitución,-35.3333,-72.4167,65.57,61,100,8.41,CL,1645462655
286,Asău,46.4333,26.4,47.39,65,93,5.08,RO,1645462655
287,Kudahuvadhoo,2.6708,72.8944,82.13,68,4,5.26,MV,1645462656
288,Bengkulu,-3.8004,102.2655,76.82,88,100,2.64,ID,1645462656
289,Belmonte,-15.8631,-38.8828,84.7,63,20,8.39,BR,1645462656
290,Ankang,32.68,109.0172,41.13,54,62,1.57,CN,1645462657
291,Zhezkazgan,47.8043,67.7144,14.97,91,91,5.73,KZ,1645462657
292,Alofi,-19.0595,-169.9187,75.09,94,75,6.91,NU,1645462657
293,Porto Tolle,44.9497,12.3245,53.08,90,88,12.84,IT,1645462658
294,Kilindoni,-7.9139,39.6668,82.31,81,42,7.99,TZ,1645462658
295,Kingman,35.1894,-114.053,55.4,30,97,21.52,US,1645462658
296,Batagay-Alyta,67.8006,130.4114,-7.13,99,100,1.77,RU,1645462659
297,Antipolo City,14.5864,121.1753,80.26,74,100,5.75,PH,1645462659
298,Hervey Bay,-25.2986,152.8535,73.02,90,2,5.01,AU,1645462659
299,Khovd,48.0056,91.6419,-7.65,94,23,2.98,MN,1645462660
300,Rundu,-17.9333,19.7667,75.24,65,55,5.44,NA,1645462660
301,Ambilobe,-13.2,49.05,78.24,87,100,9.15,MG,1645462660
302,Marand,38.4329,45.7749,43.14,66,69,0.56,IR,1645462661
303,Clarence Town,-32.5833,151.7833,74.98,97,100,2.57,AU,1645462661
304,Elatia,39.8112,22.5382,56.8,76,0,0.63,GR,1645462661
305,Avila,40.5833,-5.0,53.65,53,10,5.08,ES,1645462662
306,Saint-Pierre,-21.3393,55.4781,80.24,83,75,5.75,RE,1645462662
307,Matagami,49.7502,-77.6328,-16.49,63,0,3.44,CA,1645462663
308,Monrovia,6.3005,-10.7969,85.77,74,56,12.71,LR,1645462663
309,City of San Pedro,14.35,121.0167,81.63,76,100,5.75,PH,1645462378
310,Moshkovo,55.3053,83.6104,18.12,84,6,13.29,RU,1645462663
311,Klaksvík,62.2266,-6.589,34.72,54,70,12.26,FO,1645462664
312,Dauphin,51.1494,-100.0502,-16.46,58,0,2.3,CA,1645462481
313,Mount Gambier,-37.8333,140.7667,51.71,87,100,1.14,AU,1645462664
314,Dargaville,-35.9333,173.8833,62.08,95,19,3.51,NZ,1645462664
315,Borogontsy,62.6683,131.1683,-16.06,98,100,6.82,RU,1645462665
316,Nuuk,64.1835,-51.7216,-5.93,84,36,7.67,GL,1645462665
317,Cherskiy,68.75,161.3,-51.07,100,98,4.16,RU,1645462666
318,Hay River,60.8156,-115.7999,-18.42,76,40,10.36,CA,1645462666
319,Samarai,-10.6167,150.6667,81.77,80,100,2.93,PG,1645462666
320,Pavlohrad,48.5167,35.8667,41.97,69,26,10.36,UA,1645462667
321,Palmer,42.1584,-72.3287,51.48,42,39,3.0,US,1645462667
322,Tuatapere,-46.1333,167.6833,57.69,79,100,10.0,NZ,1645462667
323,Sol'-Iletsk,51.1631,54.9918,28.71,98,100,6.69,RU,1645462668
324,Laas,46.6166,10.7002,36.34,85,76,8.3,IT,1645462668
325,Iqaluit,63.7506,-68.5145,-27.67,75,100,4.61,CA,1645462668
326,The Valley,18.217,-63.0578,84.06,65,40,13.8,AI,1645462669
327,Torbay,47.6666,-52.7314,36.28,75,75,28.77,CA,1645462669
328,Florø,61.5996,5.0328,38.1,65,40,18.41,NO,1645462669
329,Kumul,42.8,93.45,29.98,35,0,6.42,CN,1645462670
330,Trani,41.2727,16.4154,59.86,54,54,4.0,IT,1645462670
331,Naze,28.3667,129.4833,51.3,64,99,11.45,JP,1645462670
332,Saskylakh,71.9167,114.0833,8.6,95,96,5.44,RU,1645462671
333,Makakilo City,21.3469,-158.0858,68.2,91,100,5.75,US,1645462671
334,Bridgewater,44.3835,-64.5155,47.71,63,82,8.99,CA,1645462615
335,Saint-Philippe,-21.3585,55.7679,80.15,92,100,32.21,RE,1645462671
336,Mahon,39.8885,4.2658,59.56,58,0,12.66,ES,1645462672
337,Jijiga,9.35,42.8,67.06,57,91,15.73,ET,1645462672
338,Tarata,-17.6167,-66.0167,72.82,53,100,3.53,BO,1645462672
339,Poções,-14.5297,-40.3653,83.19,46,71,7.36,BR,1645462673
340,Thabazimbi,-24.5917,27.4116,81.21,26,34,3.65,ZA,1645462673
341,Zhob,31.3411,69.4481,58.98,37,80,2.42,PK,1645462673
342,Manisa Province,38.8333,28.1667,50.31,83,46,1.01,TR,1645462433
343,Olinda,-8.0089,-34.8553,85.73,66,40,9.22,BR,1645462674
344,Semey,50.4111,80.2275,12.94,81,40,10.51,KZ,1645462674
345,Jacmel,18.2342,-72.5347,82.6,55,20,7.52,HT,1645462674
346,Ordu,40.9086,37.6845,36.03,84,92,4.92,TR,1645462675
347,Hasaki,35.7333,140.8333,36.0,41,13,22.95,JP,1645462675
348,Tūkrah,32.5341,20.5791,58.6,91,10,9.89,LY,1645462675
349,Idrinskoye,54.3708,92.1358,1.31,100,35,2.59,RU,1645462676
350,Preobrazheniye,42.9019,133.9064,9.07,72,3,11.1,RU,1645462676
351,Bathsheba,13.2167,-59.5167,84.81,61,40,19.57,BB,1645462677
352,Margate,51.3813,1.3862,51.96,67,28,11.01,GB,1645462677
353,Baruun-Urt,46.6806,113.2792,-7.01,89,4,6.85,MN,1645462677
354,Abu Dhabi,24.4667,54.3667,69.82,57,0,12.66,AE,1645462678
355,Pierre,44.3683,-100.351,2.86,71,100,21.85,US,1645462267
356,Rio Grande,-32.035,-52.0986,95.11,53,66,7.52,BR,1645462678
357,Khorramshahr,30.4397,48.1664,67.96,49,0,4.61,IR,1645462678
358,Bobo-Dioulasso,11.1771,-4.2979,97.2,7,57,7.45,BF,1645462679
359,Bosobolo,4.1833,19.9,85.95,26,15,1.48,CD,1645462679
360,Baijiantan,45.6333,85.1833,6.15,82,5,1.72,CN,1645462679
361,Maniitsoq,65.4167,-52.9,-6.23,89,82,3.96,GL,1645462680
362,Cap-aux-Meules,47.3821,-61.8597,32.05,80,75,19.57,CA,1645462680
363,Tateyama,34.9833,139.8667,37.42,46,23,6.17,JP,1645462680
364,Udachny,66.4167,112.4,-2.92,100,89,4.07,RU,1645462681
365,Mandalgovi,45.7625,106.2708,5.45,72,0,7.67,MN,1645462681
366,Santa Cruz de Tenerife,28.4682,-16.2546,66.72,75,40,8.05,ES,1645462681
367,Haukipudas,65.1765,25.3523,14.05,99,72,4.29,FI,1645462682
368,Uzhur,55.3036,89.8339,-0.51,99,67,5.93,RU,1645462682
369,Fairbanks,64.8378,-147.7164,11.91,76,100,3.44,US,1645462576
370,Dezful,32.3811,48.4058,62.11,52,40,6.13,IR,1645462682
371,Pskov,57.8136,28.3496,33.71,100,100,8.95,RU,1645462683
372,Rome,43.2128,-75.4557,49.62,40,32,2.71,US,1645462443
373,Port Macquarie,-31.4333,152.9167,67.96,89,100,1.52,AU,1645462683
374,Souillac,-20.5167,57.5167,81.36,94,40,23.02,MU,1645462683
375,Banamba,13.55,-7.45,99.46,7,3,12.73,ML,1645462684
376,‘Āhuimanu,21.4447,-157.8378,69.37,96,33,1.01,US,1645462684
377,Tromsø,69.6496,18.957,15.82,67,0,2.3,NO,1645462685
378,Fatezh,52.0891,35.8632,39.18,89,99,15.21,RU,1645462685
379,Usinsk,65.9939,57.5281,23.61,97,100,7.11,RU,1645462685
380,Beringovskiy,63.05,179.3167,-3.39,97,100,14.16,RU,1645462686
381,Richards Bay,-28.783,32.0377,75.85,88,18,5.79,ZA,1645462686
382,Kautokeino,69.0125,23.0412,-5.35,100,97,2.98,NO,1645462686
383,Muros,42.7762,-9.0603,66.69,56,29,9.57,ES,1645462687
384,Malanje,-9.5402,16.341,68.67,83,97,3.04,AO,1645462687
385,Faya,18.3851,42.4509,66.31,30,84,8.63,SA,1645462687
386,Rosarito,32.3333,-117.0333,59.25,72,100,8.79,MX,1645462688
387,Catuday,16.2923,119.8062,78.03,76,93,6.22,PH,1645462688
388,Chokurdakh,70.6333,147.9167,-44.93,100,55,4.14,RU,1645462688
389,Rehoboth,-23.3167,17.0833,86.63,26,20,9.95,NA,1645462689
390,Sobolevo,54.4299,31.8996,34.56,99,100,16.15,RU,1645462689
391,Novi Pazar,43.1367,20.5122,48.13,81,54,1.68,RS,1645462686
392,Kitgum,3.2783,32.8867,81.1,18,100,2.13,UG,1645462690
393,Byron Bay,-28.65,153.6167,73.35,86,38,2.48,AU,1645462690
394,Khor,47.8861,134.9464,-4.07,99,100,5.95,RU,1645462690
395,Avera,33.194,-82.5271,69.91,66,94,7.4,US,1645462691
396,Ostrovnoy,68.0531,39.5131,24.12,90,100,12.53,RU,1645462691
397,Cape Coast,5.1053,-1.2466,83.35,76,27,15.32,GH,1645462691
398,Phulbāni,20.4667,84.2333,67.68,23,2,3.94,IN,1645462554
399,Soe,-9.8607,124.284,65.55,97,100,1.83,ID,1645462692
400,Alice Springs,-23.7,133.8833,63.95,59,0,5.75,AU,1645462626
401,Tabou,4.423,-7.3528,82.58,76,100,11.25,CI,1645462692
402,Aspindza,41.5739,43.2483,30.79,96,97,3.51,GE,1645462693
403,Port Hawkesbury,45.6169,-61.3485,44.87,71,100,10.36,CA,1645462693
404,Bowen,-20.0167,148.2333,73.62,81,43,11.61,AU,1645462694
405,Pangnirtung,66.1451,-65.7125,-31.0,75,20,2.3,CA,1645462694
406,Mont-Dore,-22.2833,166.5833,81.0,99,94,7.36,NC,1645462694
407,Serebryansk,49.6925,83.2892,6.35,83,3,5.3,KZ,1645462695
408,Porto Empedocle,37.2934,13.5264,59.38,81,74,21.52,IT,1645462695
409,Henties Bay,-22.116,14.2845,72.86,80,12,7.72,NA,1645462695
410,Kambia,9.1167,-12.9167,86.14,42,40,11.86,SL,1645462696
411,Oron,4.8256,8.2343,85.75,63,60,11.23,NG,1645462696
412,Aklavik,68.2191,-135.0107,-15.77,68,0,9.22,CA,1645462696
413,Sungai Penuh,-2.0833,101.3833,66.2,95,100,1.34,ID,1645462697
414,Kloulklubed,7.0419,134.2556,81.1,79,81,26.22,PW,1645462697
415,Rāwah,34.4816,41.9093,59.16,59,88,5.97,IQ,1645462697
416,Béja,36.7256,9.1817,57.85,75,62,14.43,TN,1645462698
417,Samfya,-11.3649,29.5565,67.19,92,93,4.38,ZM,1645462698
418,Otane,-39.8833,176.6333,62.01,96,65,2.08,NZ,1645462698
419,Oistins,13.0667,-59.5333,84.29,61,40,19.57,BB,1645462484
420,Cabudare,10.0289,-69.0894,90.27,33,13,5.73,VE,1645462699
421,Namatanai,-3.6667,152.4333,77.88,84,100,5.06,PG,1645462699
422,Acacoyagua,15.35,-92.65,87.04,29,7,5.86,MX,1645462699
423,Våler,60.6785,11.8331,30.7,77,92,10.8,NO,1645462700
424,Saint-Raphaël,19.4333,-72.2,82.0,44,9,11.92,HT,1645462700
425,Gravdal,68.1214,13.5031,22.68,79,20,2.3,NO,1645462700
426,Diego de Almagro,-26.3667,-70.05,82.38,23,0,11.7,CL,1645462701
427,Morant Bay,17.8815,-76.4093,83.82,68,38,11.36,JM,1645462701
428,Port Hueneme,34.1478,-119.1951,59.0,67,40,17.27,US,1645462701
429,Constantine,36.365,6.6147,56.61,50,0,13.8,DZ,1645462526
430,Kapoeta,4.7717,33.5903,87.46,15,96,7.52,SS,1645462702
431,Le Port,-20.9373,55.2919,80.56,86,100,25.66,RE,1645462702
432,Governador Valadares,-18.8511,-41.9494,83.44,70,73,3.8,BR,1645462702
433,Assiut,27.181,31.1837,68.18,29,77,8.41,EG,1645462703
434,Kwang Binh,17.4833,106.6,58.1,91,100,12.06,VN,1645462703
435,Mareeba,-17.0,145.4333,74.12,95,30,2.84,AU,1645462703
436,Yerbogachën,61.2767,108.0108,12.34,95,89,7.58,RU,1645462704
437,Māngrol,21.1167,70.1167,72.03,81,0,10.18,IN,1645462704
438,Berdigestyakh,62.0989,126.6992,7.99,96,100,4.54,RU,1645462704
439,Mogadishu,2.0371,45.3438,79.36,74,71,18.54,SO,1645462705
440,Shenjiamen,29.9576,122.298,41.85,53,100,6.85,CN,1645462705
441,Beloha,-25.1667,45.05,76.33,84,0,17.43,MG,1645462705
442,Talaya,61.3833,152.75,-44.88,100,69,2.17,RU,1645462706
443,Codrington,-38.2667,141.9667,54.25,78,77,7.83,AU,1645462706
444,Xiaoweizhai,26.1903,107.5125,31.46,93,100,5.23,CN,1645462706
445,Champerico,14.3,-91.9167,92.77,56,4,7.85,GT,1645462707
446,Gympie,-26.1898,152.665,72.32,95,60,2.39,AU,1645462707
447,Tricase,39.9304,18.3553,55.31,77,24,7.47,IT,1645462707
448,Sebastian,35.1668,-94.2669,66.79,84,99,7.31,US,1645462707
449,Talnakh,69.4865,88.3972,15.21,87,100,18.68,RU,1645462708
450,Matara,5.9485,80.5353,79.07,81,62,1.19,LK,1645462708
451,Skegness,53.1436,0.3363,52.09,75,12,18.3,GB,1645462708
452,Ahipara,-35.1667,173.1667,66.87,86,38,5.7,NZ,1645462709
453,Saint-Joseph,-21.3667,55.6167,79.16,90,100,26.44,RE,1645462709
454,Santo Antônio do Leverger,-15.8656,-56.0767,88.18,76,66,10.36,BR,1645462709
455,Wewak,-3.5534,143.6268,78.58,87,100,8.1,PG,1645462710
456,North Platte,41.1239,-100.7654,15.69,67,100,19.57,US,1645462710
457,Tuxpan,19.55,-103.4,81.82,30,0,4.07,MX,1645462580
458,Imeni Poliny Osipenko,52.4201,136.4853,-22.61,100,71,4.32,RU,1645462710
459,Vestmannaeyjar,63.4427,-20.2734,40.19,87,100,50.64,IS,1645462711
460,Dawei,14.0833,98.2,69.62,82,18,4.03,MM,1645462711
461,Talara,-4.5772,-81.2719,84.96,51,40,6.91,PE,1645462711
462,Tsimmerbude,54.675,20.1347,41.05,74,77,26.96,RU,1645462483
463,Luanda,-8.8368,13.2343,80.49,81,36,14.72,AO,1645462658
464,Kaberamaido,1.7389,33.1594,79.95,32,92,1.25,UG,1645462712
465,Meulaboh,4.1363,96.1285,78.33,83,90,4.05,ID,1645462712
466,Urucará,-2.5364,-57.76,86.07,65,91,4.16,BR,1645462713
467,Yanam,16.7333,82.2167,77.4,87,40,1.03,IN,1645462713
468,Tomohon,1.3346,124.8392,65.34,91,100,5.08,ID,1645462713
469,Banjar,-8.19,114.9675,78.66,86,100,2.66,ID,1645462714
470,Deputatsky,69.3,139.9,-24.61,81,85,5.53,RU,1645462714
471,Tura,25.5198,90.2201,57.99,58,36,5.12,IN,1645462714
472,Whitefish,48.4111,-114.3376,10.0,66,100,7.43,US,1645462715
473,Jambi City,-1.6,103.6167,75.27,95,99,1.88,ID,1645462715
474,Sylva,58.0348,56.7635,27.77,93,100,6.73,RU,1645462715
475,Leh,34.1667,77.5833,2.19,53,44,2.26,IN,1645462716
476,Srandakan,-7.9386,110.2506,77.88,88,100,4.76,ID,1645462716
477,Mayo,38.8876,-76.5119,61.41,41,0,5.99,US,1645462716
478,Yar-Sale,66.8333,70.8333,17.56,96,100,7.63,RU,1645462717
479,Ballina,-28.8667,153.5667,71.56,96,75,3.44,AU,1645462717
480,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,70.3,96,100,3.76,AR,1645462717
481,Bereda,43.2686,-7.5406,58.57,58,13,4.61,ES,1645462718
482,Westport,41.1415,-73.3579,50.41,55,71,7.0,US,1645462418
483,Winnemucca,40.973,-117.7357,26.11,48,52,9.66,US,1645462718
484,Nouadhibou,20.931,-17.0347,73.38,46,100,14.97,MR,1645462718
485,Shelburne,44.0787,-80.2041,33.69,95,98,8.28,CA,1645462719
486,Orlik,52.5178,99.825,-11.49,96,22,2.71,RU,1645462719
487,Hirara,24.8,125.2833,64.45,74,100,20.58,JP,1645462719
488,Tucupita,9.0622,-62.051,88.38,46,48,7.05,VE,1645462720
489,Dalvik,65.9702,-18.5286,28.33,75,100,9.91,IS,1645462720
490,Sorong,-0.8833,131.25,78.89,86,100,12.44,ID,1645462720
491,Winterthur,47.5,8.75,42.85,83,100,14.97,CH,1645462476
492,Bluefield,37.2698,-81.2223,58.5,32,0,3.0,US,1645462721
493,Kamenka,51.3223,42.7678,33.75,93,98,9.01,RU,1645462721
494,Mehrān,33.1222,46.1646,60.28,52,63,8.55,IR,1645462721
495,Mana,5.6592,-53.7767,81.23,80,27,9.82,GF,1645462722
496,Kununurra,-15.7667,128.7333,78.78,89,51,1.14,AU,1645462722
497,Ranong,9.9658,98.6348,76.73,89,30,3.47,TH,1645462722
498,Río Cuarto,-33.1307,-64.3499,62.37,82,100,10.36,AR,1645462723
499,Dzhebariki-Khaya,62.2167,135.8,-37.44,100,83,1.54,RU,1645462723
500,Oshnavīyeh,37.0397,45.0983,37.65,86,100,7.29,IR,1645462723
501,Olafsvik,64.8945,-23.7142,35.4,98,100,28.77,IS,1645462724
502,Lahuachaca,-17.3667,-67.6667,57.87,46,98,7.34,BO,1645462724
503,Kamaishi,39.2667,141.8833,26.8,69,35,24.81,JP,1645462724
504,Amnat Charoen,15.9167,104.75,62.31,77,61,17.2,TH,1645462725
505,Sfântu Gheorghe,45.8667,25.7833,44.82,60,99,0.69,RO,1645462518
506,Antofagasta,-23.65,-70.4,76.21,59,1,9.31,CL,1645462725
507,Ţahţā,26.7693,31.5021,68.32,26,62,8.12,EG,1645462725
508,Leshan,29.5623,103.7639,41.0,90,100,2.55,CN,1645462726
509,Matamoros,25.5333,-103.25,74.1,29,47,7.92,MX,1645462726
510,Loralai,30.3705,68.598,59.99,31,0,5.19,PK,1645462726
511,Yenagoa,4.9247,6.2642,90.36,53,18,12.77,NG,1645462727
512,Easton,40.6884,-75.2207,53.98,44,13,4.0,US,1645462727
513,Zyryanka,65.75,150.85,-46.17,100,59,4.18,RU,1645462727
514,Houma,29.5958,-90.7195,75.99,80,40,14.97,US,1645462728
515,Hashtrūd,37.4779,47.0508,23.16,94,100,2.77,IR,1645462728
516,Totskoye,52.5248,52.7623,27.55,95,100,8.59,RU,1645462728
517,Boa Vista,2.8197,-60.6733,93.18,40,40,18.41,BR,1645462724
518,Broken Hill,-31.95,141.4333,64.11,32,1,12.66,AU,1645462729
519,Kiryat Gat,31.61,34.7642,60.4,100,39,3.42,IL,1645462654
520,Tessalit,20.1986,1.0114,88.66,5,56,7.81,ML,1645462729
521,Uglovoye,44.8215,33.6045,44.56,73,4,7.31,UA,1645462729
522,Singleton,-32.5667,151.1833,74.5,97,100,3.0,AU,1645462730
523,Dwārka,22.2394,68.9678,73.44,77,0,12.28,IN,1645462730
524,San Policarpo,12.1791,125.5072,78.46,85,100,15.28,PH,1645462730
525,Ilhéus,-14.7889,-39.0494,87.62,70,75,10.36,BR,1645462540
526,Tiznit Province,29.5833,-9.5,75.49,18,3,12.39,MA,1645462731
527,Bambanglipuro,-7.95,110.2833,77.58,88,100,4.7,ID,1645462731
528,Ust'-Shonosha,61.1531,41.343,19.92,99,96,0.83,RU,1645462731
529,Diré,12.2833,-10.9667,103.62,12,51,6.38,ML,1645462732
530,Fortuna,40.5982,-124.1573,42.93,91,100,1.01,US,1645462732
531,Kalmunai,7.4167,81.8167,78.37,80,2,3.94,LK,1645462732
532,Vanavara,60.34,102.2797,10.11,97,99,5.21,RU,1645462733
533,Umm Kaddadah,13.6017,26.6876,70.47,13,22,11.92,SD,1645462733
534,Gamba,-2.65,10.0,81.0,77,100,5.79,GA,1645462733
535,Sulangan,11.1373,123.7228,78.89,83,99,13.96,PH,1645462734
536,Xining,36.6167,101.7667,18.77,50,96,3.11,CN,1645462734
537,General Pico,-35.6566,-63.7568,75.2,49,82,10.92,AR,1645462734
